"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6656","Login Page Test","chromium","Tue Mar 11 18:42:19 IST 2025","passed","Tue Mar 11 18:42:26 IST 2025","","loginTest.spec.js","",""
"","8232","Verify order placement","chromium","Wed Mar 12 11:50:07 IST 2025","passed","Wed Mar 12 11:50:15 IST 2025","Order Page Tests","orderTest.spec.js","",""
